Gene	Score	Prediction	Annotation	Comment	Rank gradR analysis
slr5124	-0,6660307053	Non RNA-binding protein			
slr5124	-0,6660307053	Non RNA-binding protein			
sll1124	-0,6669152251	Non RNA-binding protein			
sll1293	-0,6669358251	Non RNA-binding protein			
sll1426	-0,6672207404	Non RNA-binding protein			
slr2123	-0,6686967884	Non RNA-binding protein			
slr1614	-0,6687013872	Non RNA-binding protein			
sll0017	-0,6690919489	Non RNA-binding protein			
ssr2972	-0,6692512354	Non RNA-binding protein			
slr1972	-0,670090296	Non RNA-binding protein			
sll0294	-0,670236304	Non RNA-binding protein			
sll5086	-0,6705733511	Non RNA-binding protein			
sll5086	-0,6705733511	Non RNA-binding protein			
slr1237	-0,6705808364	Non RNA-binding protein			
slr2096	-0,6709599844	Non RNA-binding protein			
sll8033	-0,6710599301	Non RNA-binding protein			
sll8033	-0,6710599301	Non RNA-binding protein			
sll0282	-0,6714423835	Non RNA-binding protein			
slr0853	-0,6722625287	Non RNA-binding protein			
ssl1972	-0,6723495459	Non RNA-binding protein			
slr0240	-0,6733503888	Non RNA-binding protein			
slr1214	-0,6737098204	Non RNA-binding protein			
sll1580	-0,6742192491	Non RNA-binding protein			
slr1055	-0,6755761081	Non RNA-binding protein			
sll1841	-0,6764306944	Non RNA-binding protein			
slr1898	-0,6767786639	Non RNA-binding protein			
slr1855	-0,677155843	Non RNA-binding protein			
sll0993	-0,6771640629	Non RNA-binding protein			
slr1770	-0,6772116243	Non RNA-binding protein			
slr0938	-0,6772819931	Non RNA-binding protein			
ssl2667	-0,6772828972	Non RNA-binding protein			
ssl2009	-0,6775647818	Non RNA-binding protein			
sll0576	-0,6776196761	Non RNA-binding protein			
slr1324	-0,6801031312	Non RNA-binding protein			
sll7056	-0,6809703991	Non RNA-binding protein			
sll7050	-0,6811201061	Non RNA-binding protein			
sll7050	-0,6811201061	Non RNA-binding protein			
slr1127	-0,6815399961	Non RNA-binding protein			
slr0014	-0,6819479355	Non RNA-binding protein			
sll1623	-0,6821280411	Non RNA-binding protein			
ssl5099	-0,6824651321	Non RNA-binding protein			
ssl5099	-0,6824651321	Non RNA-binding protein			
slr7082	-0,6829522589	Non RNA-binding protein			
sll0451	-0,6832122598	Non RNA-binding protein			
slr7082	-0,6834099203	Non RNA-binding protein			
slr1682	-0,6835433807	Non RNA-binding protein			
slr1756	-0,6840634125	Non RNA-binding protein			
slr1204	-0,6843065587	Non RNA-binding protein			
sll1687	-0,6844345871	Non RNA-binding protein			
sll7031	-0,6849537117	Non RNA-binding protein			
sll7031	-0,6849537117	Non RNA-binding protein			
sll1242	-0,685354176	Non RNA-binding protein			
slr0724	-0,6862118924	Non RNA-binding protein			
sll2001	-0,6870325125	Non RNA-binding protein			
slr1747	-0,6878151081	Non RNA-binding protein			
slr0444	-0,6883105856	Non RNA-binding protein			
sll1334	-0,6886274858	Non RNA-binding protein			
sll0741	-0,6898253622	Non RNA-binding protein			
sll1763	-0,6900672533	Non RNA-binding protein			
slr0969	-0,6900818792	Non RNA-binding protein			
sll1724	-0,6905828925	Non RNA-binding protein			
sll1642	-0,6909415351	Non RNA-binding protein			
ssr7036	-0,6917303337	Non RNA-binding protein			
ssr7036	-0,6917303337	Non RNA-binding protein			
slr0545	-0,6920395921	Non RNA-binding protein			
slr0239	-0,6929607013	Non RNA-binding protein			
slr0552	-0,6930735719	Non RNA-binding protein			
slr2060	-0,6931486425	Non RNA-binding protein			
sll1675	-0,6936739036	Non RNA-binding protein			
slr1668	-0,6937142985	Non RNA-binding protein			
slr0729	-0,6940089481	Non RNA-binding protein			
sll0854	-0,6944293359	Non RNA-binding protein			
sll1224	-0,6948580909	Non RNA-binding protein			
slr1897	-0,6948660988	Non RNA-binding protein			
slr1210	-0,6957176792	Non RNA-binding protein			
sll7003	-0,6959667586	Non RNA-binding protein			
sll7003	-0,6959667586	Non RNA-binding protein			
sll0310	-0,6959876405	Non RNA-binding protein			
sll5041	-0,6966408398	Non RNA-binding protein			
ssl0606	-0,6971004887	Non RNA-binding protein			
sll1297	-0,6972316925	Non RNA-binding protein			
slr1959	-0,6978896732	Non RNA-binding protein			
slr0587	-0,6983267293	Non RNA-binding protein			
slr1034	-0,6984269786	Non RNA-binding protein			
ssl7038	-0,6989817852	Non RNA-binding protein			
ssl7038	-0,6989817852	Non RNA-binding protein			
sll1792	-0,6999442707	Non RNA-binding protein			
sll7064	-0,7001974046	Non RNA-binding protein			
sll7064	-0,7001974046	Non RNA-binding protein			
slr0453	-0,7005431895	Non RNA-binding protein			
sll0320	-0,7009303399	Non RNA-binding protein			
slr7095	-0,701055177	Non RNA-binding protein			
slr7095	-0,701055177	Non RNA-binding protein			
slr0546	-0,7018461657	Non RNA-binding protein			
slr1205	-0,7020231838	Non RNA-binding protein			
sll0986	-0,7022769295	Non RNA-binding protein			
slr0489	-0,7024296938	Non RNA-binding protein	nested gene		
sll0163	-0,7027432256	Non RNA-binding protein			
sll1054	-0,7039774193	Non RNA-binding protein			
sll1285	-0,7043458433	Non RNA-binding protein			
slr1838	-0,7047777619	Non RNA-binding protein			
slr1165	-0,7051485792	Non RNA-binding protein			
sll0817	-0,7057723567	Non RNA-binding protein			
slr7059	-0,7061445592	Non RNA-binding protein			
slr7059	-0,7061445592	Non RNA-binding protein			
ssl1633	-0,7064451989	Non RNA-binding protein			
slr1697	-0,7064868348	Non RNA-binding protein			
ssl3712	-0,7065284418	Non RNA-binding protein			
sll1573	-0,7067464851	Non RNA-binding protein			
slr0517	-0,7071402882	Non RNA-binding protein			
slr2049	-0,7083138203	Non RNA-binding protein			
ssr0349	-0,7085972363	Non RNA-binding protein			
slr1161	-0,7092745459	Non RNA-binding protein			
sll0873	-0,709617301	Non RNA-binding protein			
slr1171	-0,7100968548	Non RNA-binding protein			
ssl1047	-0,7101375186	Non RNA-binding protein			
slr0434	-0,7102126148	Non RNA-binding protein			
slr0008	-0,7102455062	Non RNA-binding protein			
sll0876	-0,7107246654	Non RNA-binding protein			
slr1951	-0,7108469989	Non RNA-binding protein			
sll1135	-0,7108672507	Non RNA-binding protein			
sll0828	-0,711196207	Non RNA-binding protein			
sll1544	-0,7114770017	Non RNA-binding protein			
slr0358	-0,7116921794	Non RNA-binding protein			
slr0043	-0,7118244435	Non RNA-binding protein			
sll1750	-0,7137026094	Non RNA-binding protein			
slr8044	-0,7138192042	Non RNA-binding protein			
slr8044	-0,7138192042	Non RNA-binding protein			
slr0889	-0,7148346315	Non RNA-binding protein			
sll1277	-0,7148622033	Non RNA-binding protein			
slr0078	-0,7151777534	Non RNA-binding protein			
sll0572	-0,7162909903	Non RNA-binding protein			
sll1079	-0,7175759462	Non RNA-binding protein			
sll2007	-0,7180741225	Non RNA-binding protein			
sll0679	-0,7194554626	Non RNA-binding protein			
sll0740	-0,7196968314	Non RNA-binding protein			
slr2075	-0,7197956502	Non RNA-binding protein			
slr0528	-0,7204165144	Non RNA-binding protein			
sll1258	-0,7207360071	Non RNA-binding protein			
ssr3300	-0,7219968349	Non RNA-binding protein			
ssl7019	-0,722210583	Non RNA-binding protein			
sll0892	-0,723241577	Non RNA-binding protein			
slr1706	-0,7233478747	Non RNA-binding protein			
sll5122	-0,7234936054	Non RNA-binding protein			
sll5122	-0,7234936054	Non RNA-binding protein			
sll5075	-0,7254427665	Non RNA-binding protein			
sll5075	-0,7254427665	Non RNA-binding protein			
sll0337	-0,7255181947	Non RNA-binding protein			
slr0179	-0,7257962362	Non RNA-binding protein			
slr0749	-0,7267382984	Non RNA-binding protein			
slr0320	-0,7271951639	Non RNA-binding protein			
slr1949	-0,7274406925	Non RNA-binding protein			
sll1507	-0,7281697443	Non RNA-binding protein			
slr1103	-0,7283231484	Non RNA-binding protein			
slr0605	-0,7293496507	Non RNA-binding protein			
slr1788	-0,7293729064	Non RNA-binding protein			
slr0697	-0,7302404434	Non RNA-binding protein			
sll0668	-0,7304934578	Non RNA-binding protein			
ssr2061	-0,7305439511	Non RNA-binding protein			
slr1710	-0,730703531	Non RNA-binding protein			
slr0146	-0,730812809	Non RNA-binding protein			
ssr7040	-0,7321264183	Non RNA-binding protein			
ssr7040	-0,7321264183	Non RNA-binding protein			
ssl7022	-0,7322379392	Non RNA-binding protein			
ssl7022	-0,7322379392	Non RNA-binding protein			
sll1876	-0,7323001223	Non RNA-binding protein			
slr1746	-0,7326225816	Non RNA-binding protein			
sll1921	-0,7334887875	Non RNA-binding protein			
slr1839	-0,7340098886	Non RNA-binding protein			
sll1725	-0,7344032069	Non RNA-binding protein			
slr6056	-0,7357239965	Non RNA-binding protein			
slr6056	-0,7357239965	Non RNA-binding protein			
sll1158	-0,735926204	Non RNA-binding protein			
slr2048	-0,7363507878	Non RNA-binding protein			
slr0952	-0,7364180085	Non RNA-binding protein			
sll1464	-0,736627326	Non RNA-binding protein			
ssl7020	-0,7367220714	Non RNA-binding protein			
ssr3189	-0,7376945492	Non RNA-binding protein			252, left
slr0312	-0,7376958328	Non RNA-binding protein			
sll1892	-0,7378941742	Non RNA-binding protein			
slr2094	-0,7400946664	Non RNA-binding protein			
ssl3615	-0,7410789225	Non RNA-binding protein			
sll1082	-0,7411425289	Non RNA-binding protein			
sll0871	-0,7412189616	Non RNA-binding protein			
sll1521	-0,7414672367	Non RNA-binding protein			
slr0544	-0,7426448329	Non RNA-binding protein			
ssl1493	-0,7428481621	Non RNA-binding protein			
slr0044	-0,7430031728	Non RNA-binding protein			
slr2128	-0,7439199344	Non RNA-binding protein			
slr2038	-0,7440761614	Non RNA-binding protein			
sll1549	-0,7441249245	Non RNA-binding protein			
ssr8013	-0,7444525009	Non RNA-binding protein			
ssr8013	-0,7444525009	Non RNA-binding protein			
sll7067	-0,7449620446	Non RNA-binding protein			
sll7067	-0,7449620446	Non RNA-binding protein			
slr1081	-0,7452545705	Non RNA-binding protein	DUF820 featuring a restriction endonuclease domain		
slr1192	-0,7453145406	Non RNA-binding protein			
sll0268	-0,7456612073	Non RNA-binding protein			
slr1464	-0,7459361586	Non RNA-binding protein			
slr1538	-0,7460025774	Non RNA-binding protein			
ssl2823	-0,746778673	Non RNA-binding protein			
slr1342	-0,7472800534	Non RNA-binding protein			
sll1029	-0,7485605555	Non RNA-binding protein			
slr0780	-0,7485774069	Non RNA-binding protein			
sll1020	-0,7488522109	Non RNA-binding protein			
slr0923	-0,7492035397	Non RNA-binding protein			
slr1884	-0,7510188408	Non RNA-binding protein			
slr1307	-0,7513286958	Non RNA-binding protein			
ssl3410	-0,7520684648	Non RNA-binding protein			
slr0373	-0,7524202969	Non RNA-binding protein			
sll0797	-0,7529678626	Non RNA-binding protein			
sll0803	-0,7534023802	Non RNA-binding protein			
sll1512	-0,7534934376	Non RNA-binding protein			
slr1299	-0,7535963838	Non RNA-binding protein			
slr0435	-0,7547828156	Non RNA-binding protein			
sll0789	-0,7550858444	Non RNA-binding protein			
sll0037	-0,7550980143	Non RNA-binding protein			
slr0905	-0,7561525942	Non RNA-binding protein			
slr1149	-0,7563106016	Non RNA-binding protein			
slr2092	-0,7564007759	Non RNA-binding protein			
sll0329	-0,7566391206	Non RNA-binding protein			
ssr2016	-0,7571916977	Non RNA-binding protein			
ssr3304	-0,7571981255	Non RNA-binding protein			
sll2014	-0,7577955703	Non RNA-binding protein			
slr6101	-0,7578120159	Non RNA-binding protein			
slr6101	-0,7578120159	Non RNA-binding protein			
sll0149	-0,7578770548	Non RNA-binding protein			
ssl8005	-0,7592272898	Non RNA-binding protein			
ssl8005	-0,7592272898	Non RNA-binding protein			
sll0244	-0,7594612903	Non RNA-binding protein			
sll1502	-0,7596692631	Non RNA-binding protein			
slr0907	-0,7598620022	Non RNA-binding protein			
ssl7020	-0,7607369237	Non RNA-binding protein			
sll8012	-0,7607619341	Non RNA-binding protein			
sll8012	-0,7607619341	Non RNA-binding protein			
slr0093	-0,760848451	Non RNA-binding protein			
sll0085	-0,76100036	Non RNA-binding protein			
sll1317	-0,7610130944	Non RNA-binding protein			
slr1615	-0,7618427305	Non RNA-binding protein			
slr0786	-0,7626449797	Non RNA-binding protein			
sll0281	-0,763516876	Non RNA-binding protein			
slr0598	-0,7651344595	Non RNA-binding protein			
sll0665	-0,7654642151	Non RNA-binding protein			
sll8025	-0,7658873197	Non RNA-binding protein			
sll8025	-0,7658873197	Non RNA-binding protein			
sll0209	-0,7661160753	Non RNA-binding protein			
slr1440	-0,7667619165	Non RNA-binding protein			
sll1472	-0,7682328918	Non RNA-binding protein			
slr0882	-0,7686908114	Non RNA-binding protein			
slr0323	-0,769692299	Non RNA-binding protein			
slr5012	-0,7700002674	Non RNA-binding protein			
slr5012	-0,7700002674	Non RNA-binding protein			
slr1503	-0,7702199421	Non RNA-binding protein			
slr0233	-0,771526517	Non RNA-binding protein			
sll1162	-0,7719041837	Non RNA-binding protein			
sll1299	-0,773267178	Non RNA-binding protein			
sll7106	-0,7739431951	Non RNA-binding protein			
sll7106	-0,7739431951	Non RNA-binding protein			
sll0478	-0,7744634764	Non RNA-binding protein			
sll0070	-0,7745107139	Non RNA-binding protein			
sll1058	-0,775406154	Non RNA-binding protein			
sll1699	-0,77591859	Non RNA-binding protein			
sll1069	-0,7760670376	Non RNA-binding protein	rpsL		10 left
ssr2553	-0,7763731321	Non RNA-binding protein			
slr2098	-0,7776296544	Non RNA-binding protein	hybrid sensory kinase Hik21		5 right
sll1543	-0,7777828105	Non RNA-binding protein			
slr2119	-0,7780525789	Non RNA-binding protein			
slr1852	-0,7781938409	Non RNA-binding protein			
sll1118	-0,7785370012	Non RNA-binding protein			
ssl3382	-0,7786013481	Non RNA-binding protein			
sll0477	-0,7790546719	Non RNA-binding protein			
slr1826	-0,7796014905	Non RNA-binding protein			
slr2097	-0,7799238801	Non RNA-binding protein			
slr2005	-0,7801739577	Non RNA-binding protein			
sll1169	-0,7815420502	Non RNA-binding protein			
slr1909	-0,7822447964	Non RNA-binding protein			
sll0189	-0,7835393553	Non RNA-binding protein			
ssr2060	-0,784581252	Non RNA-binding protein			
ssl1690	-0,7847362946	Non RNA-binding protein			
slr1079	-0,7850884791	Non RNA-binding protein			
sll6053	-0,7851832852	Non RNA-binding protein			
sll6053	-0,7851832852	Non RNA-binding protein			
ssl7019	-0,7859018868	Non RNA-binding protein			
sll0547	-0,7869015226	Non RNA-binding protein			
slr0145	-0,7874025098	Non RNA-binding protein			
sll1849	-0,7875826252	Non RNA-binding protein			
sll1367	-0,7881102959	Non RNA-binding protein			
sll1708	-0,7886781951	Non RNA-binding protein			
sll0601	-0,7888264921	Non RNA-binding protein			
slr0104	-0,7890648703	Non RNA-binding protein			
sll1178	-0,7891482995	Non RNA-binding protein			
ssr0657	-0,7894032175	Non RNA-binding protein			
sll1233	-0,7894351146	Non RNA-binding protein			
slr1270	-0,7897274448	Non RNA-binding protein			
sll0638	-0,7897713839	Non RNA-binding protein			
sll1501	-0,7904681858	Non RNA-binding protein			
slr1097	-0,7913264015	Non RNA-binding protein			
sll1348	-0,791395815	Non RNA-binding protein			
ssr5120	-0,7919627989	Non RNA-binding protein			
slr1424	-0,7924987608	Non RNA-binding protein			
sll1138	-0,7929940513	Non RNA-binding protein			
ssr5120	-0,7930180404	Non RNA-binding protein			
slr0379	-0,7939436517	Non RNA-binding protein			
sll1070	-0,7939756691	Non RNA-binding protein			
slr0846	-0,794026466	Non RNA-binding protein			
slr1656	-0,7942004361	Non RNA-binding protein			
sll1398	-0,7960408999	Non RNA-binding protein			
slr0596	-0,7974963411	Non RNA-binding protein			
slr1523	-0,7976336514	Non RNA-binding protein			
slr1053	-0,7980002818	Non RNA-binding protein			
sll0071	-0,7981048717	Non RNA-binding protein			
slr1878	-0,7996371178	Non RNA-binding protein			
sll0552	-0,800191049	Non RNA-binding protein			
sll0729	-0,8001922823	Non RNA-binding protein			
slr0420	-0,8023011927	Non RNA-binding protein			
sll1692	-0,8027697038	Non RNA-binding protein			
slr5110	-0,8031282644	Non RNA-binding protein			
slr5110	-0,8031282644	Non RNA-binding protein			
slr0251	-0,80338983	Non RNA-binding protein			
slr0467	-0,8034556972	Non RNA-binding protein			
sll1461	-0,8045099044	Non RNA-binding protein			
slr1203	-0,804884105	Non RNA-binding protein			
slr0503	-0,8052637775	Non RNA-binding protein			
slr0655	-0,8054355308	Non RNA-binding protein			
slr1438	-0,8054785085	Non RNA-binding protein			
ssr2130	-0,806429791	Non RNA-binding protein			
slr1571	-0,8067838288	Non RNA-binding protein			
slr0022	-0,8075342426	Non RNA-binding protein			
slr5021	-0,8075847915	Non RNA-binding protein			
slr5021	-0,8075847915	Non RNA-binding protein			
sll0227	-0,807610917	Non RNA-binding protein			
sll7086	-0,8079014355	Non RNA-binding protein			89 right
slr1450	-0,8084871389	Non RNA-binding protein			
slr1726	-0,8090512514	Non RNA-binding protein			
slr0983	-0,8094452148	Non RNA-binding protein			
sll0775	-0,8095147051	Non RNA-binding protein			
ssl0410	-0,8106220794	Non RNA-binding protein			
slr1116	-0,8112143245	Non RNA-binding protein			
slr1867	-0,811427764	Non RNA-binding protein			
sll1536	-0,8118346112	Non RNA-binding protein			
sll1590	-0,812675236	Non RNA-binding protein			
sll1818	-0,8127895281	Non RNA-binding protein			
sll1541	-0,813979366	Non RNA-binding protein			
sll0023	-0,8147255308	Non RNA-binding protein			
ssr2857	-0,8148059728	Non RNA-binding protein			
sll1608	-0,8149033938	Non RNA-binding protein			
sll5036	-0,814938257	Non RNA-binding protein			
sll5036	-0,814938257	Non RNA-binding protein			
slr2080	-0,8153070771	Non RNA-binding protein			
slr0535	-0,8161656355	Non RNA-binding protein			
slr1235	-0,816665653	Non RNA-binding protein			
ssl7074	-0,8166786903	Non RNA-binding protein			
slr1849	-0,8168219653	Non RNA-binding protein			
ssl5070	-0,8169434854	Non RNA-binding protein			
sll1630	-0,817096974	Non RNA-binding protein			
slr1853	-0,8172046192	Non RNA-binding protein			
slr0263	-0,8175736874	Non RNA-binding protein			
sll1186	-0,8185141971	Non RNA-binding protein			
sll1853	-0,8189289285	Non RNA-binding protein			
slr1690	-0,8194979281	Non RNA-binding protein			
